sugar_level,ph_level,alcohol_level,fixed acidity,volatile acidity,citric acid,chlorides,free sulfur dioxide,total sulfur dioxide,density,sulphates,class
1.5 - 2.0,3.50 - 3.75,9.0 - 9.5,7.4,0.7,0.0,0.076,11.0,34.0,0.9978,0.56,low
2.5 - 3.0,3.00 - 3.25,9.5 - 10.0,7.8,0.88,0.0,0.098,25.0,67.0,0.9968,0.68,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,7.8,0.76,0.04,0.092,15.0,54.0,0.997,0.65,low
1.5 - 2.0,3.00 - 3.25,9.5 - 10.0,11.2,0.28,0.56,0.075,17.0,60.0,0.998,0.58,high
1.5 - 2.0,3.50 - 3.75,9.0 - 9.5,7.4,0.7,0.0,0.076,11.0,34.0,0.9978,0.56,low
1.5 - 2.0,3.50 - 3.75,9.0 - 9.5,7.4,0.66,0.0,0.075,13.0,40.0,0.9978,0.56,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.9,0.6,0.06,0.069,15.0,59.0,0.9964,0.46,low
<= 1.5,3.25 - 3.50,9.5 - 10.0,7.3,0.65,0.0,0.065,15.0,21.0,0.9946,0.47,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.8,0.58,0.02,0.073,9.0,18.0,0.9968,0.57,high
> 3.0,3.25 - 3.50,10.0 - 10.5,7.5,0.5,0.36,0.071,17.0,102.0,0.9978,0.8,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,6.7,0.58,0.08,0.09699999999999999,15.0,65.0,0.9959,0.54,low
> 3.0,3.25 - 3.50,10.0 - 10.5,7.5,0.5,0.36,0.071,17.0,102.0,0.9978,0.8,low
1.5 - 2.0,3.50 - 3.75,9.5 - 10.0,5.6,0.615,0.0,0.08900000000000001,16.0,59.0,0.9943,0.52,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.8,0.61,0.29,0.114,9.0,29.0,0.9974,1.56,low
> 3.0,3.00 - 3.25,9.0 - 9.5,8.9,0.62,0.18,0.17600000000000002,52.0,145.0,0.9986,0.88,low
> 3.0,3.00 - 3.25,9.0 - 9.5,8.9,0.62,0.19,0.17,51.0,148.0,0.9986,0.93,low
1.5 - 2.0,3.25 - 3.50,10.0 - 10.5,8.5,0.28,0.56,0.092,35.0,103.0,0.9969,0.75,high
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.1,0.56,0.28,0.368,16.0,56.0,0.9968,1.28,low
> 3.0,3.25 - 3.50,<= 9.0,7.4,0.59,0.08,0.086,6.0,29.0,0.9974,0.5,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.9,0.32,0.51,0.341,17.0,56.0,0.9969,1.08,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,8.9,0.22,0.48,0.077,29.0,60.0,0.9968,0.53,high
2.0 - 2.5,3.50 - 3.75,9.5 - 10.0,7.6,0.39,0.31,0.08199999999999999,23.0,71.0,0.9982,0.65,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.9,0.43,0.21,0.106,10.0,37.0,0.9966,0.91,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,8.5,0.49,0.11,0.084,9.0,67.0,0.9968,0.53,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,6.9,0.4,0.14,0.085,21.0,40.0,0.9968,0.63,high
<= 1.5,3.25 - 3.50,9.0 - 9.5,6.3,0.39,0.16,0.08,11.0,23.0,0.9955,0.56,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.6,0.41,0.24,0.08,4.0,11.0,0.9962,0.59,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.9,0.43,0.21,0.106,10.0,37.0,0.9966,0.91,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.1,0.71,0.0,0.08,14.0,35.0,0.9972,0.55,low
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,7.8,0.645,0.0,0.08199999999999999,8.0,16.0,0.9964,0.59,high
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,6.7,0.675,0.07,0.08900000000000001,17.0,82.0,0.9958,0.54,low
2.0 - 2.5,3.25 - 3.50,10.5 - 11.0,6.9,0.685,0.0,0.105,22.0,37.0,0.9966,0.57,high
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,8.3,0.655,0.12,0.083,15.0,113.0,0.9966,0.66,low
> 3.0,3.25 - 3.50,9.0 - 9.5,6.9,0.605,0.12,0.073,40.0,83.0,0.9993,0.52,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,5.2,0.32,0.25,0.10300000000000001,13.0,50.0,0.9957,0.55,low
> 3.0,3.25 - 3.50,9.5 - 10.0,7.8,0.645,0.0,0.086,5.0,18.0,0.9986,0.55,high
2.0 - 2.5,3.25 - 3.50,10.5 - 11.0,7.8,0.6,0.14,0.086,3.0,15.0,0.9975,0.6,high
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,8.1,0.38,0.28,0.066,13.0,30.0,0.9968,0.73,high
<= 1.5,3.25 - 3.50,9.5 - 10.0,5.7,1.13,0.09,0.172,7.0,19.0,0.9940000000000001,0.48,low
> 3.0,3.25 - 3.50,10.0 - 10.5,7.3,0.45,0.36,0.07400000000000001,12.0,87.0,0.9978,0.83,low
> 3.0,3.25 - 3.50,10.0 - 10.5,7.3,0.45,0.36,0.07400000000000001,12.0,87.0,0.9978,0.83,low
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,8.8,0.61,0.3,0.08800000000000001,17.0,46.0,0.9976,0.51,low
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,7.5,0.49,0.2,0.332,8.0,14.0,0.9968,0.9,high
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,8.1,0.66,0.22,0.069,9.0,23.0,0.9968,1.2,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,6.8,0.67,0.02,0.05,5.0,11.0,0.9962,0.52,low
2.0 - 2.5,3.50 - 4.01,> 12.0,4.6,0.52,0.15,0.054000000000000006,8.0,65.0,0.9934,0.56,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,7.7,0.935,0.43,0.114,22.0,114.0,0.997,0.73,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.7,0.29,0.52,0.113,12.0,37.0,0.9969,0.58,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,6.4,0.4,0.23,0.066,5.0,12.0,0.9958,0.56,low
<= 1.5,3.25 - 3.50,9.0 - 9.5,5.6,0.31,0.37,0.07400000000000001,12.0,96.0,0.9954,0.58,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.8,0.66,0.26,0.07400000000000001,4.0,23.0,0.9971,0.74,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,6.6,0.52,0.04,0.069,8.0,15.0,0.9956,0.63,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,6.6,0.5,0.04,0.068,6.0,14.0,0.9955,0.64,high
2.5 - 3.0,3.00 - 3.25,9.0 - 9.5,8.6,0.38,0.36,0.081,30.0,119.0,0.997,0.56,low
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,7.6,0.51,0.15,0.11,33.0,73.0,0.9955,0.63,high
> 3.0,3.25 - 3.50,9.0 - 9.5,7.7,0.62,0.04,0.084,25.0,45.0,0.9978,0.53,low
> 3.0,3.00 - 3.25,9.5 - 10.0,10.2,0.42,0.57,0.07,4.0,10.0,0.9971,0.63,low
> 3.0,3.25 - 3.50,9.0 - 9.5,7.5,0.63,0.12,0.111,50.0,110.0,0.9983,0.77,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,7.8,0.59,0.18,0.076,17.0,54.0,0.9975,0.59,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.3,0.39,0.31,0.07400000000000001,9.0,46.0,0.9962,0.54,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,8.8,0.4,0.4,0.079,19.0,52.0,0.998,0.64,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.7,0.69,0.49,0.115,20.0,112.0,0.9968,0.71,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.5,0.52,0.16,0.085,12.0,35.0,0.9968,0.62,high
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,7.0,0.735,0.05,0.081,13.0,54.0,0.9966,0.57,low
> 3.0,3.25 - 3.50,10.5 - 11.0,7.2,0.725,0.05,0.086,4.0,11.0,0.9962,0.39,low
